Algorithm,TestFile,FileSizeBytes,FileSizeMB,ChunkSize,CompressionRatio,CompThroughputGBs,DecompThroughputGBs,CompTimeMs,DecompTimeMs,TransferH2DMs,TransferD2HMs,TotalTimeMs,AvgChunkTimeMs,CompThroughputStdDev,DecompThroughputStdDev,CompTimeStdDevMs,DecompTimeStdDevMs,NodeName,GPU,GPUArch,EnvLabel,Iterations,Warmup,Timestamp
lz4,large_TTI_1024.bin,719323136,686.00,65536,1.04,12.03,308.14,59.793,2.334,204.236,196.702,460.731,0.005448,0.2393,7.4675,1.2538,0.0576,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
lz4,large_binary_1024.bin,1073741824,1024.00,65536,3.25,38.45,1100.93,27.924,0.975,167.339,51.462,246.725,0.001704,0.1424,11.9696,0.1034,0.0106,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
lz4,large_random_1024.bin,1073741824,1024.00,65536,1.00,13.82,812.66,77.718,1.321,172.559,173.238,423.515,0.004744,0.3501,3.4911,2.1072,0.0057,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
lz4,large_zeros_1024.bin,1073741824,1024.00,65536,245.45,812.24,1654.24,1.322,0.649,167.265,0.681,169.268,0.000081,5.2617,8.7006,0.0086,0.0034,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
lz4,medium_TTI_100.bin,104857600,100.00,65536,1.06,4.89,71.26,21.445,1.471,18.308,17.340,57.093,0.013403,0.0355,0.4566,0.1571,0.0094,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
lz4,medium_binary_100.bin,104857600,100.00,65536,3.26,8.66,406.36,12.109,0.258,16.383,5.026,33.518,0.007568,0.0142,5.9768,0.0199,0.0039,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
lz4,medium_random_100.bin,104857600,100.00,65536,1.00,7.67,336.40,13.676,0.312,16.640,16.705,47.021,0.008548,0.0356,9.4429,0.0637,0.0088,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
lz4,medium_zeros_100.bin,104857600,100.00,65536,245.45,246.62,925.02,0.425,0.113,16.739,0.068,17.233,0.000266,5.5016,7.4041,0.0095,0.0009,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
lz4,small_TTI_10.bin,10485760,10.00,65536,1.65,0.53,7.42,19.918,1.412,1.691,1.025,22.634,0.124489,0.0044,0.0340,0.1679,0.0065,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
lz4,small_binary_10.bin,10485760,10.00,65536,3.26,0.90,42.17,11.602,0.249,1.660,0.509,13.772,0.072514,0.0025,0.2001,0.0319,0.0012,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
lz4,small_random_10.bin,10485760,10.00,65536,1.00,0.88,42.66,11.953,0.246,1.691,1.698,15.342,0.074705,0.0020,0.2368,0.0266,0.0014,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
lz4,small_zeros_10.bin,10485760,10.00,65536,245.45,35.14,98.40,0.298,0.107,1.917,0.008,2.223,0.001865,2.0572,0.4072,0.0204,0.0004,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
lz4,xlarge_TTI_4096.bin,3956277248,3773.00,65536,1.04,15.00,590.08,263.838,6.705,640.446,616.954,1521.238,0.004370,0.0676,9.3671,1.1952,0.1072,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
lz4,xlarge_binary_4096.bin,4294967296,4096.00,65536,3.26,44.76,1214.56,95.965,3.536,723.994,222.125,1042.084,0.001464,0.1098,27.5135,0.2346,0.0825,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
lz4,xlarge_random_4096.bin,4294967296,4096.00,65536,1.00,14.50,888.75,296.111,4.833,716.192,719.011,1731.313,0.004518,0.0413,16.5807,0.8453,0.0923,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
lz4,xlarge_zeros_4096.bin,4294967296,4096.00,65536,245.45,848.03,1800.02,5.065,2.386,772.508,3.147,780.720,0.000077,8.6994,43.5452,0.0531,0.0582,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
snappy,large_TTI_1024.bin,719323136,686.00,65536,1.03,83.57,300.59,8.608,2.393,201.796,195.017,405.421,0.000784,0.4438,1.8925,0.0457,0.0151,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
snappy,large_binary_1024.bin,1073741824,1024.00,65536,2.95,80.38,273.13,13.358,3.931,168.200,56.949,238.507,0.000815,0.3155,1.0544,0.0528,0.0152,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
snappy,large_random_1024.bin,1073741824,1024.00,65536,0.99,96.56,363.75,11.120,2.952,214.477,216.162,441.759,0.000679,0.4287,59.1764,0.0494,0.7857,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
snappy,large_zeros_1024.bin,1073741824,1024.00,65536,21.30,70.68,229.92,15.192,4.670,208.576,9.793,233.561,0.000927,0.2563,1.3253,0.0552,0.0269,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
snappy,medium_TTI_100.bin,104857600,100.00,65536,1.05,59.84,184.47,1.752,0.568,16.310,15.513,33.575,0.001095,0.4715,0.7250,0.0140,0.0022,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
snappy,medium_binary_100.bin,104857600,100.00,65536,2.96,62.15,169.49,1.687,0.619,16.518,5.580,23.785,0.001054,1.7026,1.3744,0.0487,0.0051,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
snappy,medium_random_100.bin,104857600,100.00,65536,0.99,82.40,341.39,1.273,0.307,16.562,16.692,34.527,0.000795,0.8107,2.3974,0.0127,0.0022,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
snappy,medium_zeros_100.bin,104857600,100.00,65536,21.30,59.56,166.92,1.760,0.628,16.506,0.775,19.041,0.001100,3.3539,0.6318,0.1150,0.0024,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
snappy,small_TTI_10.bin,10485760,10.00,65536,1.60,7.00,19.43,1.497,0.540,1.782,1.113,4.393,0.009359,0.0787,0.0424,0.0174,0.0012,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
snappy,small_binary_10.bin,10485760,10.00,65536,2.96,7.11,19.30,1.474,0.543,1.657,0.560,3.691,0.009215,0.0824,0.0508,0.0176,0.0014,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
snappy,small_random_10.bin,10485760,10.00,65536,0.99,11.36,43.49,0.923,0.241,2.189,2.206,5.318,0.005770,0.2135,0.1116,0.0183,0.0006,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
snappy,small_zeros_10.bin,10485760,10.00,65536,21.30,7.00,19.35,1.498,0.542,1.971,0.093,3.562,0.009365,0.0812,0.0551,0.0179,0.0015,vianden-1,AMD Instinct MI300X,gfx942,MI300X,10,2,20260518_030034
